timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-06-01T00:00:00.000Z";"2026-06-01T23:59:59.999Z";"2026-06-01T00:31:00.000Z";"2026-06-01T11:35:00.000Z";"2781";302.3891388269;304.0906194798;279.6675508444;293.1461707015;245709526.31;5875339986.53;20042356.25;"2026-06-01T23:59:59.999Z"
"2026-05-31T00:00:00.000Z";"2026-05-31T23:59:59.999Z";"2026-05-31T11:06:00.000Z";"2026-05-31T17:07:00.000Z";"2781";302.9457356327;307.1228055977;297.7845074281;302.3821192896;172643386.38;6060464221.05;20041937.5;"2026-05-31T23:59:59.999Z"
"2026-05-30T00:00:00.000Z";"2026-05-30T23:59:59.999Z";"2026-05-30T16:40:00.000Z";"2026-05-30T04:39:00.000Z";"2781";301.8983248049;307.3887882853;296.835517763;302.9453408958;135445255.04;6071489800.8;20041509.38;"2026-05-30T23:59:59.999Z"
"2026-05-29T00:00:00.000Z";"2026-05-29T23:59:59.999Z";"2026-05-29T07:31:00.000Z";"2026-05-29T13:34:00.000Z";"2781";299.8636845994;308.4882980935;296.7104271126;301.8983625783;301937226.75;6050366969.79;20041075;"2026-05-29T23:59:59.999Z"
"2026-05-28T00:00:00.000Z";"2026-05-28T23:59:59.999Z";"2026-05-28T02:58:00.000Z";"2026-05-28T15:22:00.000Z";"2781";333.9219583057;335.432525945;293.5651996621;299.8635202664;423198660.62;6009466899.07;20040662.5;"2026-05-28T23:59:59.999Z"
"2026-05-27T00:00:00.000Z";"2026-05-27T23:59:59.999Z";"2026-05-27T15:42:00.000Z";"2026-05-27T23:29:00.000Z";"2781";343.1541827934;346.0559737764;332.9313299902;333.9219023516;144501923.38;6691881611.95;20040256.25;"2026-05-27T23:59:59.999Z"
"2026-05-26T00:00:00.000Z";"2026-05-26T23:59:59.999Z";"2026-05-26T10:43:00.000Z";"2026-05-26T17:34:00.000Z";"2781";351.3373219353;354.3061003196;342.6642441507;343.154853972;149100099.63;6876748698.85;20039821.88;"2026-05-26T23:59:59.999Z"
"2026-05-25T00:00:00.000Z";"2026-05-25T23:59:59.999Z";"2026-05-25T10:32:00.000Z";"2026-05-25T03:35:00.000Z";"2781";346.8470389625;351.7206403391;343.9754184398;351.3377115457;118416631.53;7040583639.55;20039384.38;"2026-05-25T23:59:59.999Z"
"2026-05-24T00:00:00.000Z";"2026-05-24T23:59:59.999Z";"2026-05-24T01:50:00.000Z";"2026-05-24T21:37:00.000Z";"2781";355.4913478331;357.2492902029;338.4314144229;346.848700047;381951755.92;6950458058.7;20038971.88;"2026-05-24T23:59:59.999Z"
"2026-05-23T00:00:00.000Z";"2026-05-23T23:59:59.999Z";"2026-05-23T03:13:00.000Z";"2026-05-23T09:10:00.000Z";"2781";360.1697885328;364.0710977508;343.7582739166;355.5014054717;459806263.39;7123524482.66;20038531.25;"2026-05-23T23:59:59.999Z"
"2026-05-22T00:00:00.000Z";"2026-05-22T23:59:59.999Z";"2026-05-22T14:46:00.000Z";"2026-05-22T23:52:00.000Z";"2781";380.5328369915;381.1270267313;359.440315076;360.1636947745;398888211.57;7217096854.52;20038040.63;"2026-05-22T23:59:59.999Z"
"2026-05-21T00:00:00.000Z";"2026-05-21T23:59:59.999Z";"2026-05-21T17:23:00.000Z";"2026-05-21T00:00:00.000Z";"2781";372.6796637499;382.842895073;372.6696829342;380.5348368866;414889219.7;7624955261.19;20037575;"2026-05-21T23:59:59.999Z"
"2026-05-20T00:00:00.000Z";"2026-05-20T23:59:59.999Z";"2026-05-20T21:30:00.000Z";"2026-05-20T13:39:00.000Z";"2781";369.6588261678;374.5129323816;364.5794816926;372.6804558395;411090978.1;7467430172.14;20037128.13;"2026-05-20T23:59:59.999Z"
"2026-05-19T00:00:00.000Z";"2026-05-19T23:59:59.999Z";"2026-05-19T13:05:00.000Z";"2026-05-19T14:49:00.000Z";"2781";378.5108073855;385.8632309196;363.7924686055;369.6527279575;503406743.56;7406737226.36;20036684.38;"2026-05-19T23:59:59.999Z"
"2026-05-18T00:00:00.000Z";"2026-05-18T23:59:59.999Z";"2026-05-18T00:01:00.000Z";"2026-05-18T11:34:00.000Z";"2781";404.5371151086;404.6202120416;353.6986598625;378.5041257662;712939527.33;7583957272.87;20036303.13;"2026-05-18T23:59:59.999Z"
"2026-05-17T00:00:00.000Z";"2026-05-17T23:59:59.999Z";"2026-05-17T00:40:00.000Z";"2026-05-17T23:43:00.000Z";"2781";415.7337837397;416.263934268;401.3324356277;404.5113779499;229034917.82;8105268977.15;20035909.38;"2026-05-17T23:59:59.999Z"
"2026-05-16T00:00:00.000Z";"2026-05-16T23:59:59.999Z";"2026-05-16T04:02:00.000Z";"2026-05-16T12:05:00.000Z";"2781";426.5157782493;427.4757071931;410.7793918025;415.7337837397;314473187.02;8329417334.94;20035459.38;"2026-05-16T23:59:59.999Z"
