timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-06-01T00:00:00.000Z";"2026-06-01T23:59:59.999Z";"2026-06-01T00:55:00.000Z";"2026-06-01T16:14:00.000Z";"2781";52.0032657316;52.178697026;50.1116764657;50.7205731274;303310344.85;3917366159.68;77234264.48;"2026-06-01T23:59:59.999Z"
"2026-05-31T00:00:00.000Z";"2026-05-31T23:59:59.999Z";"2026-05-31T03:37:00.000Z";"2026-05-31T17:13:00.000Z";"2781";52.3495825139;52.6661767717;51.3950916668;52.0037577645;206316979.38;4016256518.38;77230851.98;"2026-05-31T23:59:59.999Z"
"2026-05-30T00:00:00.000Z";"2026-05-30T23:59:59.999Z";"2026-05-30T14:27:00.000Z";"2026-05-30T00:37:00.000Z";"2781";51.8304787161;52.6828413319;51.8055285603;52.3465505049;223316328.5;4042817017.51;77227301.98;"2026-05-30T23:59:59.999Z"
"2026-05-29T00:00:00.000Z";"2026-05-29T23:59:59.999Z";"2026-05-29T17:20:00.000Z";"2026-05-29T14:46:00.000Z";"2781";51.5876597133;52.2234860052;51.2390748926;51.8304835484;250888377.04;4002545329.33;77223776.98;"2026-05-29T23:59:59.999Z"
"2026-05-28T00:00:00.000Z";"2026-05-28T23:59:59.999Z";"2026-05-28T00:22:00.000Z";"2026-05-28T05:23:00.000Z";"2781";51.922504586;52.0165452155;50.3419690519;51.5876387119;293114696.94;3983616273.8;77220333.23;"2026-05-28T23:59:59.999Z"
"2026-05-27T00:00:00.000Z";"2026-05-27T23:59:59.999Z";"2026-05-27T15:37:00.000Z";"2026-05-27T21:58:00.000Z";"2781";51.8599982364;52.7240744962;51.6920732355;51.9226171544;252065091.34;4009291053.17;77216826.98;"2026-05-27T23:59:59.999Z"
"2026-05-26T00:00:00.000Z";"2026-05-26T23:59:59.999Z";"2026-05-26T14:31:00.000Z";"2026-05-26T17:35:00.000Z";"2781";52.6566304982;53.0242990768;51.6113666492;51.8598981985;241069247.71;4004293049.07;77213520.73;"2026-05-26T23:59:59.999Z"
"2026-05-25T00:00:00.000Z";"2026-05-25T23:59:59.999Z";"2026-05-25T17:01:00.000Z";"2026-05-25T22:38:00.000Z";"2781";52.7657735387;53.0778671162;52.4605597724;52.6566304982;232583142.63;4065605051.95;77209745.73;"2026-05-25T23:59:59.999Z"
"2026-05-24T00:00:00.000Z";"2026-05-24T23:59:59.999Z";"2026-05-24T12:01:00.000Z";"2026-05-24T21:49:00.000Z";"2781";53.4348109792;53.5686506897;52.039517714;52.7650423373;209539208.07;4073841671.79;77206139.48;"2026-05-24T23:59:59.999Z"
"2026-05-23T00:00:00.000Z";"2026-05-23T23:59:59.999Z";"2026-05-23T21:01:00.000Z";"2026-05-23T07:55:00.000Z";"2781";52.6221473676;54.100315452;51.7753212853;53.4358661961;265931023.93;4125289745.71;77202289.48;"2026-05-23T23:59:59.999Z"
"2026-05-22T00:00:00.000Z";"2026-05-22T23:59:59.999Z";"2026-05-22T08:31:00.000Z";"2026-05-22T23:49:00.000Z";"2781";54.1305268359;54.4764996065;52.3470911676;52.6218922658;293337535.46;4062349961.27;77198483.23;"2026-05-22T23:59:59.999Z"
"2026-05-21T00:00:00.000Z";"2026-05-21T23:59:59.999Z";"2026-05-21T08:17:00.000Z";"2026-05-21T11:04:00.000Z";"2781";53.9068018571;54.6294812817;53.3663286978;54.1316558163;274542485.37;4178604434.89;77194970.73;"2026-05-21T23:59:59.999Z"
"2026-05-20T00:00:00.000Z";"2026-05-20T23:59:59.999Z";"2026-05-20T00:05:00.000Z";"2026-05-20T01:38:00.000Z";"2781";54.3859687903;54.4788882984;53.2956518843;53.9067292577;273753027.04;4161144307.14;77191451.98;"2026-05-20T23:59:59.999Z"
"2026-05-19T00:00:00.000Z";"2026-05-19T23:59:59.999Z";"2026-05-19T07:53:00.000Z";"2026-05-19T14:52:00.000Z";"2781";54.3100613996;54.4725359457;53.5732140498;54.3859352338;236783708.81;4197928630.9;77187714.48;"2026-05-19T23:59:59.999Z"
"2026-05-18T00:00:00.000Z";"2026-05-18T23:59:59.999Z";"2026-05-18T00:00:00.000Z";"2026-05-18T15:32:00.000Z";"2781";54.5647028517;54.5647028517;53.2294246398;54.3100613996;315343860.57;4191874675.55;77184126.98;"2026-05-18T23:59:59.999Z"
"2026-05-17T00:00:00.000Z";"2026-05-17T23:59:59.999Z";"2026-05-17T10:40:00.000Z";"2026-05-17T23:52:00.000Z";"2781";56.1780933902;56.4409607945;54.0194397982;54.5647980898;244268224.95;4211328428.44;77180451.98;"2026-05-17T23:59:59.999Z"
"2026-05-16T00:00:00.000Z";"2026-05-16T23:59:59.999Z";"2026-05-16T01:10:00.000Z";"2026-05-16T10:14:00.000Z";"2781";57.4933376599;57.6126038547;55.6104692053;56.1780933902;246655147.19;4335638567.13;77176676.98;"2026-05-16T23:59:59.999Z"
"2026-05-15T00:00:00.000Z";"2026-05-15T23:59:59.999Z";"2026-05-15T08:46:00.000Z";"2026-05-15T14:01:00.000Z";"2781";58.1591518758;58.4580821191;56.4891514655;57.4933376599;298075416.69;4436928789.93;77172920.73;"2026-05-15T23:59:59.999Z"
"2026-05-14T00:00:00.000Z";"2026-05-14T23:59:59.999Z";"2026-05-14T19:13:00.000Z";"2026-05-14T04:04:00.000Z";"2781";56.9665553891;59.4270672428;56.6574714582;58.1590584179;313523691.59;4488118601.96;77169601.98;"2026-05-14T23:59:59.999Z"
"2026-05-13T00:00:00.000Z";"2026-05-13T23:59:59.999Z";"2026-05-13T10:02:00.000Z";"2026-05-13T16:01:00.000Z";"2781";58.0082324221;58.9102898874;56.3365569492;56.9664512224;304031761.2;4395894143.62;77166226.98;"2026-05-13T23:59:59.999Z"
"2026-05-12T00:00:00.000Z";"2026-05-12T23:59:59.999Z";"2026-05-12T00:07:00.000Z";"2026-05-12T14:37:00.000Z";"2781";58.5322223554;58.5860359084;57.0938053025;58.0066719251;284815413.85;4476073763.74;77162733.23;"2026-05-12T23:59:59.999Z"
"2026-05-11T00:00:00.000Z";"2026-05-11T23:59:59.999Z";"2026-05-11T00:04:00.000Z";"2026-05-11T14:34:00.000Z";"2781";60.3817472487;60.4857063766;58.1872227101;58.5321520907;309041426.36;4516293348.22;77159095.73;"2026-05-11T23:59:59.999Z"
"2026-05-10T00:00:00.000Z";"2026-05-10T23:59:59.999Z";"2026-05-10T23:46:00.000Z";"2026-05-10T01:38:00.000Z";"2781";58.0090105646;60.5251689536;57.7074462277;60.3817472487;328029675.89;4658777981.44;77155401.98;"2026-05-10T23:59:59.999Z"
"2026-05-09T00:00:00.000Z";"2026-05-09T23:59:59.999Z";"2026-05-09T01:59:00.000Z";"2026-05-09T15:16:00.000Z";"2781";58.2331599181;59.1038141855;57.6728216247;58.0089053014;249017480.32;4475486281.76;77151570.73;"2026-05-09T23:59:59.999Z"
"2026-05-08T00:00:00.000Z";"2026-05-08T23:59:59.999Z";"2026-05-08T18:37:00.000Z";"2026-05-08T03:10:00.000Z";"2781";56.4315567808;58.9110999533;56.1573937005;58.2331599181;314661148.86;4492543548.2;77147514.48;"2026-05-08T23:59:59.999Z"
"2026-05-07T00:00:00.000Z";"2026-05-07T23:59:59.999Z";"2026-05-07T13:04:00.000Z";"2026-05-07T15:29:00.000Z";"2781";56.68239767;57.3464362271;56.1672185707;56.4315567808;295499668.92;4353296047.64;77143701.98;"2026-05-07T23:59:59.999Z"
"2026-05-06T00:00:00.000Z";"2026-05-06T23:59:59.999Z";"2026-05-06T11:26:00.000Z";"2026-05-06T00:51:00.000Z";"2781";56.3768181183;57.8540413281;56.1877700258;56.6833132208;341792373.7;4372482040.02;77140033.23;"2026-05-06T23:59:59.999Z"
"2026-05-05T00:00:00.000Z";"2026-05-05T23:59:59.999Z";"2026-05-05T21:14:00.000Z";"2026-05-05T00:10:00.000Z";"2781";54.949858609;56.5628576084;54.8777290792;56.376831522;299600798.72;4348725341.52;77136764.48;"2026-05-05T23:59:59.999Z"
"2026-05-04T00:00:00.000Z";"2026-05-04T23:59:59.999Z";"2026-05-04T04:22:00.000Z";"2026-05-04T23:55:00.000Z";"2781";55.2868043562;56.3154464721;54.9261732314;54.9484487005;334068230.48;4238482927.05;77133645.73;"2026-05-04T23:59:59.999Z"
"2026-05-03T00:00:00.000Z";"2026-05-03T23:59:59.999Z";"2026-05-03T22:48:00.000Z";"2026-05-03T06:24:00.000Z";"2781";55.3654643617;55.7107357481;54.9004828585;55.2865938299;195138866.31;4264282732.56;77130208.23;"2026-05-03T23:59:59.999Z"
"2026-05-02T00:00:00.000Z";"2026-05-02T23:59:59.999Z";"2026-05-02T03:37:00.000Z";"2026-05-02T21:04:00.000Z";"2781";55.3948109284;55.6670029011;55.091490266;55.3656365556;195781108.95;4270170203.44;77126964.48;"2026-05-02T23:59:59.999Z"
"2026-05-01T00:00:00.000Z";"2026-05-01T23:59:59.999Z";"2026-05-01T19:31:00.000Z";"2026-05-01T10:13:00.000Z";"2781";55.1692577784;55.9847119038;54.9823746829;55.3950070068;251885628.21;4272211343.37;77122951.98;"2026-05-01T23:59:59.999Z"
"2026-04-30T00:00:00.000Z";"2026-04-30T23:59:59.999Z";"2026-04-30T12:28:00.000Z";"2026-04-30T05:02:00.000Z";"2781";55.3043368539;55.9338099336;55.0063655087;55.1701020344;224660905.73;4254601892.93;77119070.73;"2026-04-30T23:59:59.999Z"
"2026-04-29T00:00:00.000Z";"2026-04-29T23:59:59.999Z";"2026-04-29T10:08:00.000Z";"2026-04-29T18:35:00.000Z";"2781";55.7183689293;57.6121394672;54.4375080021;55.3035093972;338089705.6;4264790935.32;77114945.73;"2026-04-29T23:59:59.999Z"
"2026-04-28T00:00:00.000Z";"2026-04-28T23:59:59.999Z";"2026-04-28T23:58:00.000Z";"2026-04-28T14:37:00.000Z";"2781";55.5499241873;55.7185161885;54.784883965;55.7184650832;212246070.05;4296503435.91;77111076.98;"2026-04-28T23:59:59.999Z"
"2026-04-27T00:00:00.000Z";"2026-04-27T23:59:59.999Z";"2026-04-27T03:46:00.000Z";"2026-04-27T15:26:00.000Z";"2781";56.3074433736;56.7947886841;55.1116471939;55.5499241873;251910873.78;4283293669.49;77107101.98;"2026-04-27T23:59:59.999Z"
"2026-04-26T00:00:00.000Z";"2026-04-26T23:59:59.999Z";"2026-04-26T22:23:00.000Z";"2026-04-26T03:47:00.000Z";"2781";56.0479236519;56.4392434763;55.8038869309;56.3075351059;206807978.18;4341483123.84;77103183.23;"2026-04-26T23:59:59.999Z"
"2026-04-25T00:00:00.000Z";"2026-04-25T23:59:59.999Z";"2026-04-25T04:13:00.000Z";"2026-04-25T21:46:00.000Z";"2781";56.5195240581;56.6976276111;55.9731673673;56.0479236519;187199543.97;4321272605.57;77099601.98;"2026-04-25T23:59:59.999Z"
"2026-04-24T00:00:00.000Z";"2026-04-24T23:59:59.999Z";"2026-04-24T21:14:00.000Z";"2026-04-24T03:35:00.000Z";"2781";56.2338510485;56.734168115;55.8078347067;56.5195240581;244802425.61;4357455125.93;77096458.23;"2026-04-24T23:59:59.999Z"
"2026-04-23T00:00:00.000Z";"2026-04-23T23:59:59.999Z";"2026-04-23T23:55:00.000Z";"2026-04-23T03:42:00.000Z";"2781";55.568553831;56.2368784692;54.9752928161;56.2346509392;251381797.12;4335237093.35;77093014.48;"2026-04-23T23:59:59.999Z"
"2026-04-22T00:00:00.000Z";"2026-04-22T23:59:59.999Z";"2026-04-22T15:58:00.000Z";"2026-04-22T01:34:00.000Z";"2781";55.5498078195;56.5093027668;55.5295306942;55.568553831;263722817.47;4283755961.12;77089570.73;"2026-04-22T23:59:59.999Z"
"2026-04-21T00:00:00.000Z";"2026-04-21T23:59:59.999Z";"2026-04-21T14:43:00.000Z";"2026-04-21T03:24:00.000Z";"2781";55.0361200366;55.8360836966;54.7268163674;55.5491755979;242762274.39;4282116762;77086076.98;"2026-04-21T23:59:59.999Z"
"2026-04-20T00:00:00.000Z";"2026-04-20T23:59:59.999Z";"2026-04-20T18:57:00.000Z";"2026-04-20T00:04:00.000Z";"2781";54.0722200861;55.3686286945;54.0538692285;55.0365022092;246406331.88;4242318736.1;77082445.73;"2026-04-20T23:59:59.999Z"
"2026-04-19T00:00:00.000Z";"2026-04-19T23:59:59.999Z";"2026-04-19T04:20:00.000Z";"2026-04-19T23:26:00.000Z";"2781";55.7296208739;55.7929410208;53.9873340659;54.0721229987;233976494.43;4167821268.92;77078789.48;"2026-04-19T23:59:59.999Z"
"2026-04-18T00:00:00.000Z";"2026-04-18T23:59:59.999Z";"2026-04-18T07:58:00.000Z";"2026-04-18T19:34:00.000Z";"2781";56.4771823968;56.642538915;55.3174258204;55.7294336894;233909397.37;4295380493.08;77075358.23;"2026-04-18T23:59:59.999Z"
"2026-04-17T00:00:00.000Z";"2026-04-17T23:59:59.999Z";"2026-04-17T13:58:00.000Z";"2026-04-17T05:37:00.000Z";"2781";56.3688567477;57.3388597474;55.397452553;56.47679058;305690673.63;4352791158.62;77071676.98;"2026-04-17T23:59:59.999Z"
"2026-04-16T00:00:00.000Z";"2026-04-16T23:59:59.999Z";"2026-04-16T20:01:00.000Z";"2026-04-16T14:28:00.000Z";"2781";55.1328859379;56.5257741712;54.6767862688;56.3690695137;295784323.26;4344246789.72;77068208.23;"2026-04-16T23:59:59.999Z"
"2026-04-15T00:00:00.000Z";"2026-04-15T23:59:59.999Z";"2026-04-15T19:43:00.000Z";"2026-04-15T06:34:00.000Z";"2781";54.3116368963;55.6273175448;53.8899410946;55.1328859379;248899391.58;4248800458.04;77064720.73;"2026-04-15T23:59:59.999Z"
"2026-04-14T00:00:00.000Z";"2026-04-14T23:59:59.999Z";"2026-04-14T13:59:00.000Z";"2026-04-14T05:59:00.000Z";"2781";54.6501944318;55.2313961962;54.0520476606;54.311542285;275658398.31;4185319342.03;77061189.48;"2026-04-14T23:59:59.999Z"
"2026-04-13T00:00:00.000Z";"2026-04-13T23:59:59.999Z";"2026-04-13T23:39:00.000Z";"2026-04-13T11:34:00.000Z";"2781";53.4898486002;54.7116885543;52.7038885859;54.6503867395;276036236.18;4211215321.79;77057645.73;"2026-04-13T23:59:59.999Z"
"2026-04-12T00:00:00.000Z";"2026-04-12T23:59:59.999Z";"2026-04-12T00:00:00.000Z";"2026-04-12T23:34:00.000Z";"2781";55.0716708383;55.0739503511;53.4168202217;53.4898486002;199201840.32;4121611246.19;77054083.23;"2026-04-12T23:59:59.999Z"
"2026-04-11T00:00:00.000Z";"2026-04-11T23:59:59.999Z";"2026-04-11T19:40:00.000Z";"2026-04-11T13:35:00.000Z";"2781";54.9668952533;55.6808626626;54.415559185;55.0720653379;196485613.1;4243299194.77;77050489.48;"2026-04-11T23:59:59.999Z"
"2026-04-10T00:00:00.000Z";"2026-04-10T23:59:59.999Z";"2026-04-10T15:13:00.000Z";"2026-04-10T08:07:00.000Z";"2781";54.5025339157;55.4727088142;54.2860658051;54.9668009137;224539499.89;4235017310.46;77046689.48;"2026-04-10T23:59:59.999Z"
"2026-04-09T00:00:00.000Z";"2026-04-09T23:59:59.999Z";"2026-04-09T22:19:00.000Z";"2026-04-09T11:40:00.000Z";"2781";53.9684350375;55.1458481671;53.6996616227;54.5024837924;237655045.77;4199033378.33;77042901.98;"2026-04-09T23:59:59.999Z"
"2026-04-08T00:00:00.000Z";"2026-04-08T23:59:59.999Z";"2026-04-08T00:04:00.000Z";"2026-04-08T23:34:00.000Z";"2781";55.4071630984;55.5064117606;53.9124733634;53.9684350375;254301221.18;4157693937.46;77039364.48;"2026-04-08T23:59:59.999Z"
"2026-04-07T00:00:00.000Z";"2026-04-07T23:59:59.999Z";"2026-04-07T23:55:00.000Z";"2026-04-07T12:10:00.000Z";"2781";53.5418553405;55.6940275969;52.9566553192;55.407418107;283918771.3;4268347365.23;77036020.73;"2026-04-07T23:59:59.999Z"
"2026-04-06T00:00:00.000Z";"2026-04-06T23:59:59.999Z";"2026-04-06T09:23:00.000Z";"2026-04-06T23:09:00.000Z";"2781";54.1145152278;54.5081795711;53.2929222504;53.5429748039;245384696.76;4124466758.72;77032570.73;"2026-04-06T23:59:59.999Z"
"2026-04-05T00:00:00.000Z";"2026-04-05T23:59:59.999Z";"2026-04-05T23:59:00.000Z";"2026-04-05T12:51:00.000Z";"2781";53.5745476754;54.1156896612;52.642674076;54.1145152278;183620530.3;4168393526.92;77029120.73;"2026-04-05T23:59:59.999Z"
"2026-04-04T00:00:00.000Z";"2026-04-04T23:59:59.999Z";"2026-04-04T19:16:00.000Z";"2026-04-04T06:11:00.000Z";"2781";53.207228455;53.80135339;53.0154364218;53.5745476754;175707279.08;4126597052.7;77025326.98;"2026-04-04T23:59:59.999Z"
"2026-04-03T00:00:00.000Z";"2026-04-03T23:59:59.999Z";"2026-04-03T21:52:00.000Z";"2026-04-03T02:47:00.000Z";"2781";52.2601737748;53.4462716072;52.1736762583;53.2080513897;206379607.97;4098111958.52;77021714.48;"2026-04-03T23:59:59.999Z"
"2026-04-02T00:00:00.000Z";"2026-04-02T23:59:59.999Z";"2026-04-02T00:46:00.000Z";"2026-04-02T13:38:00.000Z";"2781";53.8057475147;54.0774265209;51.4784544151;52.2601737748;280225200.99;4024978413.59;77018083.23;"2026-04-02T23:59:59.999Z"
"2026-04-01T00:00:00.000Z";"2026-04-01T23:59:59.999Z";"2026-04-01T06:35:00.000Z";"2026-04-01T23:59:00.000Z";"2781";53.9183219979;54.6800894756;53.8053270242;53.8058538491;275835212.66;4143822176.12;77014489.48;"2026-04-01T23:59:59.999Z"
"2026-03-31T00:00:00.000Z";"2026-03-31T23:59:59.999Z";"2026-03-31T14:25:00.000Z";"2026-03-31T11:11:00.000Z";"2781";53.1970318626;54.1373276919;53.1423417829;53.9179070964;293928215.92;4152301643.4;77010958.23;"2026-03-31T23:59:59.999Z"
"2026-03-30T00:00:00.000Z";"2026-03-30T23:59:59.999Z";"2026-03-30T08:40:00.000Z";"2026-03-30T19:34:00.000Z";"2781";53.2946606893;54.3093906235;53.0750164253;53.197751648;339847735.69;4096562224.65;77007345.73;"2026-03-30T23:59:59.999Z"
