timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-06-01T00:00:00.000Z";"2026-06-01T23:59:59.999Z";"2026-06-01T00:55:00.000Z";"2026-06-01T15:19:00.000Z";"2781";567.2510462185;594.0903570859;527.1090228908;544.5226949404;875137684.37;9094770779.16;16702935.04;"2026-06-01T23:59:59.999Z"
"2026-05-31T00:00:00.000Z";"2026-05-31T23:59:59.999Z";"2026-05-31T23:05:00.000Z";"2026-05-31T00:16:00.000Z";"2781";527.5973534427;572.0753952508;526.6498165631;567.2683255741;728150814.69;9474765974.8;16702441.42;"2026-05-31T23:59:59.999Z"
"2026-05-30T00:00:00.000Z";"2026-05-30T23:59:59.999Z";"2026-05-30T18:01:00.000Z";"2026-05-30T04:47:00.000Z";"2781";530.0442652515;540.4371892154;504.2280210558;527.6093302059;540667000.12;8811348485.17;16700895.92;"2026-05-30T23:59:59.999Z"
"2026-05-29T00:00:00.000Z";"2026-05-29T23:59:59.999Z";"2026-05-29T01:14:00.000Z";"2026-05-29T14:52:00.000Z";"2781";546.0195245141;561.6151460454;525.1382840953;530.077596247;712971777.56;8851359209.46;16699283.04;"2026-05-29T23:59:59.999Z"
"2026-05-28T00:00:00.000Z";"2026-05-28T23:59:59.999Z";"2026-05-28T18:13:00.000Z";"2026-05-28T09:13:00.000Z";"2781";541.8457327773;561.0846066117;521.0973784653;545.9971252695;792775559.28;9116918197.14;16697740.29;"2026-05-28T23:59:59.999Z"
"2026-05-27T00:00:00.000Z";"2026-05-27T23:59:59.999Z";"2026-05-27T01:00:00.000Z";"2026-05-27T23:40:00.000Z";"2781";568.748744087;581.2217349061;540.3044249282;541.7403241653;773506445.74;9046726139.06;16696128.79;"2026-05-27T23:59:59.999Z"
"2026-05-26T00:00:00.000Z";"2026-05-26T23:59:59.999Z";"2026-05-26T00:00:00.000Z";"2026-05-26T22:58:00.000Z";"2781";652.5399997811;652.5455793923;567.9588444655;568.7588060141;1207094636.44;9495027189.71;16694590.17;"2026-05-26T23:59:59.999Z"
"2026-05-25T00:00:00.000Z";"2026-05-25T23:59:59.999Z";"2026-05-25T14:35:00.000Z";"2026-05-25T03:16:00.000Z";"2781";662.2405383189;679.5302465857;645.4422476935;652.5804568298;748523850.55;10893473956.9;16692920.92;"2026-05-25T23:59:59.999Z"
"2026-05-24T00:00:00.000Z";"2026-05-24T23:59:59.999Z";"2026-05-24T17:16:00.000Z";"2026-05-24T00:26:00.000Z";"2781";631.4239718374;682.4463083725;624.4925661584;662.2321567875;905234157.73;11053748237.77;16691440.04;"2026-05-24T23:59:59.999Z"
"2026-05-23T00:00:00.000Z";"2026-05-23T23:59:59.999Z";"2026-05-23T21:04:00.000Z";"2026-05-23T07:48:00.000Z";"2781";584.4497713324;663.7837523682;573.4493895129;631.4449886824;873975641.16;10538355221.74;16689824.42;"2026-05-23T23:59:59.999Z"
"2026-05-22T00:00:00.000Z";"2026-05-22T23:59:59.999Z";"2026-05-22T00:11:00.000Z";"2026-05-22T23:47:00.000Z";"2781";663.962155802;664.1879151988;582.2212112974;584.3365544543;706704653.39;9753460796.13;16688278.92;"2026-05-22T23:59:59.999Z"
"2026-05-21T00:00:00.000Z";"2026-05-21T23:59:59.999Z";"2026-05-21T18:00:00.000Z";"2026-05-21T14:59:00.000Z";"2781";670.8692294035;681.9246260953;647.4168770464;663.9717270354;974848554.14;11079333929.34;16686694.92;"2026-05-21T23:59:59.999Z"
"2026-05-20T00:00:00.000Z";"2026-05-20T23:59:59.999Z";"2026-05-20T19:50:00.000Z";"2026-05-20T00:19:00.000Z";"2781";573.7737727007;687.136981565;569.5126896246;670.8672927678;1200798427.46;11193545028.89;16685137.04;"2026-05-20T23:59:59.999Z"
"2026-05-19T00:00:00.000Z";"2026-05-19T23:59:59.999Z";"2026-05-19T18:07:00.000Z";"2026-05-19T14:50:00.000Z";"2781";560.7176976359;579.8745967023;551.6887368295;573.7797340536;631793987.32;9572572596.19;16683357.79;"2026-05-19T23:59:59.999Z"
"2026-05-18T00:00:00.000Z";"2026-05-18T23:59:59.999Z";"2026-05-18T22:40:00.000Z";"2026-05-18T11:27:00.000Z";"2781";534.9596718109;568.7214236379;517.5898243879;560.736234127;722152129.18;9353839036.07;16681904.42;"2026-05-18T23:59:59.999Z"
